,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_cu,util_u_exec_rp,util_u_pre_exec,util_u_total
rp.session.login1.mturilli1.018107.0000,4.629070997238159,38.1509690284729,906.3495810031892,6.799293041229247,0.0010209083557128906,0.11658596992492674,1564471246.1473913,900.3331100940704,0.0008959770202636719,0.11496186256408693,0.004235982894897461,0.001101970672607422,0.12052392959594728,900.1833591461183,exp2,168,168,1,1,1,2,2,0,rp.session.login1.mturilli1.018107.0000,12.365999937057495,7.309606075286865,929.4618999958037,907.2136449813844,0.21117019653320312,0.11779284477233888,0.011555910110473631,0.02878689765930176,0,900.3357479572296
rp.session.login1.mturilli1.018106.0007,5.380795001983644,55.466451168060296,910.2193949222564,7.536525011062622,0.0009579658508300779,0.11741495132446288,1564436768.443369,900.4735682010651,0.0007920265197753906,0.0007128715515136719,0.002017974853515625,0.0011229515075683594,0.11671996116638185,900.2770731449127,exp2,168,168,1,1,1,1,1,0,rp.session.login1.mturilli1.018106.0007,9.947999954223633,8.070743083953857,939.6735999584198,911.4553818702698,0.10178518295288086,0.002210855484008789,0.005509853363037109,0.013895988464355469,0,900.4793000221252
rp.session.login1.mturilli1.018107.0002,4.943595886230469,34.450523853302,909.1863601207733,6.666754961013794,0.001116037368774414,0.117340087890625,1564475584.9489212,900.5690948963165,0.0012660026550292967,0.32405710220336914,0.008405208587646484,0.0020439624786376953,0.13722610473632812,900.4013829231262,exp2,168,168,1,1,1,4,4,0,rp.session.login1.mturilli1.018107.0002,10.046799898147585,8.52600622177124,933.1507000923157,910.9241840839386,0.41103172302246094,0.32695698738098145,0.02280592918395996,0.055510282516479485,0,900.5718500614166
rp.session.login1.mturilli1.018107.0003,4.7632410526275635,1098.465558052063,909.1092360019684,6.935863018035889,0.0012810230255126953,0.11899304389953612,1564476842.706373,901.0540571212767,0.003296852111816407,0.7630729675292969,0.01826620101928711,0.0022711753845214844,0.1531238555908203,900.8385829925536,exp2,168,168,1,1,1,8,8,0,rp.session.login1.mturilli1.018107.0003,13.463599920272827,11.39999794960022,939.6784999370576,910.031138896942,0.8247592449188232,0.7659928798675537,0.04742121696472168,0.11527514457702635,0,901.0567469596864
rp.session.login1.mturilli1.018107.0004,4.7209908962249765,44.25174903869629,908.641441822052,7.441496133804321,0.0009279251098632812,0.11668205261230467,1564482533.428176,901.9071447849274,0.003108024597167969,1.6712961196899414,0.03455305099487305,0.0033447742462158203,0.18015718460083008,901.7487080097197,exp2,168,168,1,1,1,16,16,0,rp.session.login1.mturilli1.018107.0004,12.959800004959106,9.401633024215696,942.1092000007628,910.1875967979432,1.6881287097930908,1.6741561889648438,0.09051680564880372,0.2275214195251465,0,901.9097630977632
rp.session.login1.mturilli1.018107.0005,4.543646097183228,538.3333878517151,912.2569370269777,6.432290077209473,0.0009081363677978516,0.1167888641357422,1564492619.743852,903.6741740703584,0.005856037139892578,3.431830883026123,0.0664060115814209,0.00603795051574707,0.33815598487854004,903.5099229812622,exp2,168,168,1,1,1,32,32,0,rp.session.login1.mturilli1.018107.0005,11.01639986038208,7.331153869628906,934.4197998046876,913.6955771446228,3.35007119178772,3.43458104133606,0.2411956787109375,0.5542240142822266,0,903.6767690181732
rp.session.login1.mturilli1.018107.0006,7.5553128719329825,35.93574905395508,916.3971729278564,6.3524010181427,0.0008029937744140625,0.1157691478729248,1564497377.8013694,907.2979669570924,0.01195216178894043,7.004765033721924,0.13185381889343262,0.017789125442504883,0.5496997833251953,907.078474998474,exp2,336,336,1,1,1,64,64,0,rp.session.login1.mturilli1.018107.0006,11.20359992980957,9.66440415382385,940.56920003891,917.1145298480988,6.73684287071228,7.007483959197997,0.3755824565887451,0.9079964160919192,0,907.3007578849792
rp.session.login1.mturilli1.018107.0007,4.755433082580566,64.25291609764099,921.5614340305327,6.66104793548584,0.0008280277252197268,0.1150798797607422,1564498594.310766,914.355612039566,0.022195100784301758,14.131269931793213,0.2671358585357666,0.01781487464904785,0.8649220466613771,914.2087869644164,exp2,672,672,1,1,1,128,128,0,rp.session.login1.mturilli1.018107.0007,10.78189992904663,8.772357940673826,951.9224998950958,922.7471029758452,13.482537269592285,14.134079217910767,0.7746653556823729,1.8324460983276367,0,914.3584802150726
rp.session.login1.mturilli1.018107.0008,5.725793123245237,44.761478900909424,939.0498161315918,7.024924039840697,0.0009479522705078123,0.11761689186096193,1564504013.97896,928.7936880588533,0.04121708869934082,28.561321020126343,0.5582098960876465,0.05672121047973633,1.327307939529419,928.646744966507,exp2,1176,1176,1,1,1,256,256,0,rp.session.login1.mturilli1.018107.0008,11.263799905776978,7.112534284591675,968.9005000591278,940.0784649848938,27.13283085823059,28.56426191329956,1.696962833404541,4.034088134765625,0,928.7966639995576
rp.session.login1.mturilli1.018107.0009,4.493889808654785,4310.148416996002,968.8637890815736,14.78133487701416,0.0008020401000976562,0.1143641471862793,1564508726.702399,958.400456905365,0.09108805656433104,58.1067430973053,1.3066909313201904,0.12499213218688965,2.0146420001983643,958.2022850513458,exp2,2184,2184,1,1,1,512,512,0,rp.session.login1.mturilli1.018107.0009,15.83080005645752,9.664268016815186,1005.0752000808716,969.8995230197906,54.953973293304436,58.11037993431089,3.1982431411743164,8.319370269775389,0,958.404130935669
