,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid,util_p_boot,util_p_term,util_p_total,util_p_uexec
0,,,949.7103269100189,4.365793943405151,43.312942028045654,10.378841876983643,4.484806060791016,4.483681917190552,32.93410015106201,906.3973848819733,5.894035816192627,0.0011241436004638672,0.11788797378540039,exp1,summit.olcf.ornl.gov,84,1,pilot.0000,rp.session.login1.mturilli1.018088.0003,10.925999879837036,9.271772146224976,929.3148000240326,907.3782558441162
0,,,1029.2643568515778,4.9885828495025635,119.35010695457458,11.062903881072998,5.1072609424591064,5.106475830078125,108.28720307350159,909.9142498970032,5.955642938613892,0.0007851123809814453,0.11789298057556152,exp1,summit.olcf.ornl.gov,84,1,pilot.0000,rp.session.login1.mturilli1.018088.0002,81.2829999923706,6.73108696937561,1001.5246000289917,911.6909320354462
0,,,955.852422952652,4.4845359325408936,48.21456503868103,11.058855056762695,4.603460073471069,4.6023619174957275,37.155709981918335,907.637857913971,6.455394983291626,0.0010981559753417969,0.11782598495483398,exp1,summit.olcf.ornl.gov,84,1,pilot.0000,rp.session.login1.mturilli1.018088.0004,10.504600048065186,7.58324408531189,936.8901000022888,909.3439118862152
0,,,951.8180818557739,5.74904203414917,42.433736085891724,12.004481077194214,5.866008043289185,5.865212917327881,30.42925500869751,909.3843457698822,6.138473033905029,0.0007951259613037109,0.11617088317871094,exp1,summit.olcf.ornl.gov,84,4,pilot.0000,rp.session.login1.mturilli1.018092.0003,9.739399909973145,8.12925124168396,930.4897999763489,911.0861179828644
0,,,959.7170221805573,4.799443960189819,49.986207008361816,12.06285810470581,4.917381048202515,4.916359186172485,37.923348903656006,909.7308151721954,7.145477056503296,0.0010218620300292969,0.11691522598266602,exp1,summit.olcf.ornl.gov,84,32,pilot.0000,rp.session.login1.mturilli1.018092.0006,8.290899991989136,6.161573886871338,934.5550999641418,910.7080690860748
0,,,964.5805990695953,4.319108009338379,57.23803687095642,10.026059865951538,4.435000896453857,4.434225082397461,47.21197700500488,907.3425621986389,5.591058969497681,0.0007758140563964844,0.11511707305908203,exp1,summit.olcf.ornl.gov,84,8,pilot.0000,rp.session.login1.mturilli1.018092.0004,21.697799921035767,7.274436950683594,941.8156998157501,909.1198811531067
0,,,951.7522439956665,4.37924599647522,43.40294313430786,10.010994911193848,4.495402097702026,4.4944539070129395,33.391948223114014,908.3493008613586,5.515592813491821,0.0009481906890869141,0.11520791053771973,exp1,summit.olcf.ornl.gov,84,16,pilot.0000,rp.session.login1.mturilli1.018092.0005,10.64709997177124,8.545742988586426,930.7386000156403,909.2718069553375
0,,,1849.9863419532776,4.664993047714233,38.61942100524902,11.399128913879395,4.7820329666137695,4.781202077865601,27.22029209136963,1811.3669209480286,6.617095947265625,0.0008308887481689453,0.11620903015136719,exp1,summit.olcf.ornl.gov,84,64,pilot.0000,rp.session.login1.mturilli1.018092.0008,9.358000040054321,7.114932060241699,1830.5517001152039,1812.4621579647064
0,,,947.1806681156158,4.771243095397949,39.46941614151001,10.777919054031372,4.888488054275513,4.887606143951416,28.691497087478638,907.7112519741058,5.889430999755859,0.0008819103240966797,0.1163630485534668,exp1,summit.olcf.ornl.gov,84,2,pilot.0000,rp.session.login1.mturilli1.018092.0007,10.955900192260742,9.101699829101562,931.0927000045776,908.6784069538116
0,,,955.1413810253143,5.8966920375823975,43.9230010509491,12.35896897315979,6.014343976974487,6.013500928878784,31.564032077789307,911.2183799743652,6.344624996185303,0.000843048095703125,0.11680889129638672,exp1,summit.olcf.ornl.gov,336,64,pilot.0000,rp.session.login1.mturilli1.018095.0000,11.073400020599365,9.096000909805298,934.1791000366211,912.3907949924469
0,,,9367.03817486763,5.040941953659058,8419.061436891556,11.44676399230957,5.158541917800903,5.157719850540161,8407.614672899246,947.9767379760742,6.288222074508667,0.0008220672607421875,0.11677789688110352,exp1,summit.olcf.ornl.gov,8232,2048,pilot.0000,rp.session.login1.mturilli1.018102.0000,11.891300201416016,7.731094837188721,971.1621000766754,949.1644549369812
0,,,996.0588040351868,4.806573152542114,86.40893912315369,10.597563982009888,4.92730712890625,4.9256391525268555,75.8113751411438,909.6498649120331,5.670256853103638,0.0016679763793945312,0.11906599998474121,exp1,summit.olcf.ornl.gov,336,64,pilot.0000,rp.session.login1.mturilli1.018099.0000,12.827899932861328,6.597718954086304,933.1561000347137,911.4348330497742
0,,,964.9711558818817,4.558996915817261,46.97025799751282,10.353039026260376,4.673965930938721,4.673233985900879,36.61721897125244,918.0008978843689,5.679073095321655,0.0007319450378417969,0.11423707008361816,exp1,summit.olcf.ornl.gov,2184,512,pilot.0000,rp.session.login1.mturilli1.018100.0002,11.330000162124634,8.306420087814331,940.4011001586914,918.9611649513245
0,,,2011.6827127933502,4.657280921936035,1063.3070228099823,11.914216995239258,4.778100967407227,4.777231931686401,1051.392805814743,948.3756899833679,7.136116027832031,0.0008690357208251953,0.11995100975036621,exp1,summit.olcf.ornl.gov,4200,1024,pilot.0000,rp.session.login1.mturilli1.018100.0003,12.875,7.682821035385132,971.9505999088287,949.7543370723724
0,,,955.5273370742798,4.74068808555603,45.250067949295044,10.696086883544922,4.861886024475098,4.860956907272339,34.55398106575012,910.2772691249847,5.834200859069824,0.0009291172027587891,0.1202688217163086,exp1,summit.olcf.ornl.gov,672,128,pilot.0000,rp.session.login1.mturilli1.018100.0000,12.039000034332275,9.060179948806763,935.1215000152588,912.0425729751587
0,,,954.4959011077881,4.454594135284424,39.666313886642456,10.721256256103516,4.573849201202393,4.57288932800293,28.94505763053894,914.8295872211456,6.147407054901123,0.0009598731994628906,0.11829519271850586,exp1,summit.olcf.ornl.gov,1176,256,pilot.0000,rp.session.login1.mturilli1.018100.0001,9.925899982452393,8.231353759765625,936.2261998653412,915.9990971088409
0,,,1139.4299411773682,4.778789043426514,194.48609399795532,10.962313175201416,4.895385026931763,4.894376993179321,183.5237808227539,944.9438471794128,6.066928148269653,0.0010080337524414062,0.11558794975280762,exp1,summit.olcf.ornl.gov,4200,1024,pilot.0000,rp.session.login1.mturilli1.018100.0004,11.030900001525879,7.134082078933716,966.0983002185822,946.2205591201782
0,,,3740.0491302013397,4.584074020385742,,10.935134172439575,4.705538034439087,4.704599142074585,,,6.229596138000488,0.0009388923645019531,0.12052512168884277,exp1,,84,1,pilot.0000,rp.session.login1.mturilli1.018102.0001,82.72119998931885,,,
0,,,7.041209936141968,5.175405979156494,,,5.296634912490845,5.295705080032349,,,,0.0009298324584960938,0.12029910087585449,exp1,,168,1,pilot.0000,rp.session.login1.mturilli1.018106.0004,,,,
0,,,66.62310194969177,8.293038845062256,57.79529285430908,14.519711971282959,8.410320043563843,8.409117937088013,43.27558088302612,8.82780909538269,6.109391927719116,0.0012021064758300781,0.11607909202575684,exp1,summit.olcf.ornl.gov,168,1,pilot.0000,rp.session.login1.mturilli1.018106.0005,12.3610999584198,6.858072996139526,40.461599826812744,10.150434970855713
0,,,80.68518495559692,5.132164001464844,70.04448294639587,11.961559057235718,5.249330997467041,5.248426914215088,58.082923889160156,10.64070200920105,6.712228059768677,0.000904083251953125,0.11626291275024414,exp1,summit.olcf.ornl.gov,168,1,pilot.0000,rp.session.login1.mturilli1.018106.0006,16.507499933242798,8.44061017036438,47.64590001106262,12.41740608215332
0,,,974.8071298599243,4.386061906814575,64.31518602371216,10.298727035522461,4.504340887069702,4.503545045852661,54.0164589881897,910.4919438362122,5.794386148452759,0.0007958412170410156,0.11748313903808594,exp1,summit.olcf.ornl.gov,84,2,pilot.0000,rp.session.login1.mturilli1.018106.0001,10.197199821472168,7.6651530265808105,931.3688998222351,911.7049829959869
0,,,964.7526249885559,4.782832860946655,56.0715069770813,11.105546951293945,4.9016618728637695,4.900683879852295,44.96596002578735,908.6811180114746,6.203885078430176,0.0009779930114746094,0.11785101890563965,exp1,summit.olcf.ornl.gov,84,2,pilot.0000,rp.session.login1.mturilli1.018106.0002,8.352599859237671,8.826013088226318,928.4365999698639,909.6471400260925
0,,,1022.9099338054657,5.00116491317749,114.43118405342102,13.457473993301392,5.1214258670806885,5.119529962539673,100.97371006011963,908.4787497520447,8.336048126220703,0.001895904541015625,0.11836504936218262,exp1,summit.olcf.ornl.gov,168,4,pilot.0000,rp.session.login1.mturilli1.018108.0006,10.32829999923706,9.535552978515625,933.4421999454498,909.4532639980316
0,,,955.6082110404968,4.758026123046875,45.80138802528381,13.610875129699707,4.876583099365234,4.8755669593811035,32.190512895584106,909.806823015213,8.734292030334473,0.0010161399841308594,0.11754083633422852,exp1,summit.olcf.ornl.gov,168,8,pilot.0000,rp.session.login1.mturilli1.018108.0007,10.878299951553345,6.92716121673584,931.3001000881195,911.5904519557953
0,,,1043.163020849228,5.257580995559692,132.74370884895325,14.0814368724823,5.38357400894165,5.380950927734375,118.66227197647095,910.4193120002747,8.69786286354065,0.0026230812072753906,0.12336993217468262,exp1,summit.olcf.ornl.gov,168,32,pilot.0000,rp.session.login1.mturilli1.018108.0008,10.37689995765686,7.064841032028198,930.5969998836517,911.6403141021729
0,,,953.5103487968445,4.99773097038269,44.57730793952942,14.644984006881714,5.1143598556518555,5.113400936126709,29.932323932647705,908.9330408573151,9.530624151229858,0.0009589195251464844,0.11566996574401855,exp1,summit.olcf.ornl.gov,168,16,pilot.0000,rp.session.login1.mturilli1.018108.0009,8.097000122070312,7.880730867385864,928.2815999984741,910.5089690685272
0,,,966.6703987121582,4.882261753082275,46.59864592552185,13.42077374458313,5.000182867050171,4.9993298053741455,33.17787218093872,920.0717527866364,8.420590877532959,0.0008530616760253906,0.11706805229187012,exp1,summit.olcf.ornl.gov,2184,512,pilot.0000,rp.session.login1.mturilli1.018109.0001,9.526999950408936,8.62052297592163,941.6461999416351,921.2995209693909
